Content ID,Content Type,content category,ReactionType,Sentiment,Score,Date,Hour,Minute,Second,Weekday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,positive,75,2021-02-02,3,43,43,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30,2021-02-04,3,6,12,Thursday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,dislike,negative,10,2020-11-09,2,49,59,Monday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15,2020-09-29,16,0,27,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,dislike,negative,10,2020-11-29,21,33,4,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,want,positive,70,2021-02-13,7,54,1,Saturday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30,2020-07-14,5,28,44,Tuesday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,neutral,20,2020-08-23,10,30,37,Sunday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,worried,negative,12,2021-05-10,9,27,42,Monday
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5,2021-03-15,3,59,11,Monday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,dislike,negative,10,2020-06-25,17,1,58,Thursday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,intrigued,positive,45,2020-09-13,0,11,50,Sunday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,neutral,35,2020-08-20,18,17,6,Thursday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,scared,negative,15,2021-02-11,4,53,56,Thursday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,negative,5,2021-03-08,10,40,53,Monday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,negative,0,2021-03-28,21,15,26,Sunday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,negative,5,2021-05-25,1,0,28,Tuesday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,positive,50,2021-03-15,12,17,43,Monday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,positive,65,2021-05-05,16,26,43,Wednesday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,positive,65,2020-08-31,0,21,56,Monday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,heart,positive,60,2021-06-16,3,2,28,Wednesday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,indifferent,neutral,20,2020-07-07,10,52,30,Tuesday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,neutral,35,2020-08-20,7,59,11,Thursday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,positive,65,2020-09-23,11,15,19,Wednesday
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,positive,50,2021-03-24,5,56,19,Wednesday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,negative,5,2020-12-07,19,13,23,Monday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,positive,75,2020-08-03,16,41,4,Monday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,2021-01-10,15,36,1,Sunday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,negative,15,2020-09-20,8,48,13,Sunday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,cherish,positive,70,2020-07-20,14,6,31,Monday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,2020-10-24,12,15,34,Saturday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,2021-06-06,1,27,19,Sunday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,positive,60,2020-12-25,0,9,41,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,positive,50,2021-06-14,7,56,56,Monday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,positive,50,2021-06-05,18,0,42,Saturday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,negative,5,2020-11-18,23,37,37,Wednesday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,2021-05-09,2,42,43,Sunday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,negative,10,2021-05-11,8,38,47,Tuesday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,peeking,neutral,35,2020-11-12,8,0,5,Thursday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,positive,60,2020-06-21,16,57,9,Sunday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,positive,75,2021-03-04,23,58,54,Thursday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,positive,70,2020-07-09,16,47,7,Thursday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,negative,5,2020-08-01,19,16,1,Saturday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,negative,10,2020-11-23,22,46,17,Monday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,negative,15,2020-12-11,14,8,51,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,negative,10,2021-04-23,23,41,18,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,positive,70,2020-11-13,0,33,42,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,2021-06-09,10,13,56,Wednesday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,love,positive,65,2020-10-29,19,41,49,Thursday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,positive,60,2021-05-14,12,47,27,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,negative,0,2020-08-04,5,40,33,Tuesday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,2020-08-07,4,9,29,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,2020-10-23,21,19,27,Friday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,positive,72,2020-11-14,23,53,51,Saturday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,worried,negative,12,2020-08-04,19,26,8,Tuesday
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,positive,30,2020-11-12,4,54,46,Thursday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,worried,negative,12,2021-04-03,12,17,12,Saturday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,want,positive,70,2020-09-27,22,15,54,Sunday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,positive,60,2020-10-27,5,45,15,Tuesday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,scared,negative,15,2020-10-15,9,11,23,Thursday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,positive,60,2021-05-07,9,16,35,Friday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,hate,negative,5,2020-09-16,8,39,40,Wednesday
356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,indifferent,neutral,20,2020-10-29,15,38,26,Thursday
01ab84dd-6364-4236-abbb-3f237db77180,video,food,scared,negative,15,2021-05-24,18,3,26,Monday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,interested,positive,30,2021-02-25,20,2,53,Thursday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,hate,negative,5,2021-05-02,3,45,3,Sunday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,want,positive,70,2021-01-28,8,49,29,Thursday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,neutral,35,2021-02-15,13,6,4,Monday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,negative,10,2020-11-04,21,25,52,Wednesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,love,positive,65,2020-06-23,22,12,3,Tuesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,cherish,positive,70,2021-02-16,4,1,15,Tuesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,interested,positive,30,2021-01-03,8,44,25,Sunday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,positive,72,2020-11-25,12,45,41,Wednesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,like,positive,50,2020-12-03,16,47,33,Thursday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,like,positive,50,2021-05-22,21,3,24,Saturday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,cherish,positive,70,2021-01-18,13,39,54,Monday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,indifferent,neutral,20,2021-01-06,0,35,24,Wednesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,positive,72,2021-05-14,14,33,17,Friday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,worried,negative,12,2021-05-27,15,21,54,Thursday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,neutral,35,2020-07-21,2,12,26,Tuesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,negative,10,2021-05-26,6,9,46,Wednesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,negative,10,2021-02-25,3,16,57,Thursday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,intrigued,positive,45,2020-12-07,22,50,16,Monday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,indifferent,neutral,20,2020-10-24,14,6,32,Saturday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,neutral,35,2020-09-01,21,18,45,Tuesday
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,positive,72,2021-05-10,22,7,25,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,cherish,positive,70,2021-02-12,16,37,36,Friday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,2021-04-28,15,22,49,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,intrigued,positive,45,2021-01-24,0,38,50,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,negative,12,2021-03-18,1,53,44,Thursday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,negative,0,2021-01-14,7,21,32,Thursday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,2020-12-23,4,11,42,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,negative,5,2021-05-21,7,23,46,Friday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,like,positive,50,2021-03-28,23,25,16,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,peeking,neutral,35,2020-09-16,7,33,24,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,indifferent,neutral,20,2020-11-08,10,53,19,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,2021-03-06,5,23,29,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,negative,0,2021-01-13,23,35,56,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,2020-09-06,22,35,47,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,2020-06-24,9,31,0,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,negative,5,2021-02-07,21,39,16,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,intrigued,positive,45,2021-01-21,18,28,1,Thursday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,dislike,negative,10,2021-02-27,0,21,50,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,negative,12,2020-08-22,12,6,49,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,cherish,positive,70,2020-08-03,6,29,58,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,2020-08-02,6,20,43,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,2021-06-04,4,57,36,Friday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,super love,positive,75,2020-10-21,9,7,21,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,dislike,negative,10,2020-12-26,19,46,34,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,2021-03-02,22,47,19,Tuesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,indifferent,neutral,20,2021-03-31,9,48,0,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,2021-06-14,13,44,48,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,2020-12-27,17,4,31,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,2021-02-11,3,51,1,Thursday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,2020-12-07,19,7,35,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,2020-12-28,8,31,27,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,2020-10-26,5,27,32,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,negative,12,2020-09-26,18,43,58,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,negative,15,2020-11-25,13,1,22,Wednesday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,2020-07-11,5,51,54,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,2021-03-19,16,23,19,Friday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,positive,30,2020-10-11,18,31,6,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,positive,60,2020-11-02,20,15,3,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,2020-10-01,3,35,13,Thursday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,negative,0,2021-02-11,20,10,20,Thursday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,positive,70,2021-02-07,15,59,10,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,negative,5,2020-10-17,11,46,24,Saturday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,like,positive,50,2020-08-09,19,41,24,Sunday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,love,positive,65,2021-02-01,2,40,9,Monday
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,adore,positive,72,2021-01-30,9,36,48,Saturday
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,want,positive,70,2021-03-31,15,24,36,Wednesday
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,super love,positive,75,2021-02-05,17,0,19,Friday
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,heart,positive,60,2021-02-19,16,29,59,Friday
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,worried,negative,12,2020-07-25,0,0,21,Saturday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,adore,positive,72,2020-07-13,2,38,53,Monday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,indifferent,neutral,20,2021-01-13,13,11,3,Wednesday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,worried,negative,12,2021-01-02,16,46,38,Saturday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,intrigued,positive,45,2020-11-26,2,25,57,Thursday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,want,positive,70,2020-08-25,19,18,58,Tuesday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,hate,negative,5,2021-02-01,0,15,7,Monday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,love,positive,65,2021-06-04,14,36,48,Friday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,adore,positive,72,2020-08-19,13,38,44,Wednesday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,cherish,positive,70,2021-04-22,2,8,7,Thursday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,super love,positive,75,2020-06-26,10,33,8,Friday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,like,positive,50,2020-08-15,18,16,38,Saturday
0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,love,positive,65,2020-11-26,13,42,17,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,2021-04-14,0,56,54,Wednesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,neutral,20,2020-07-21,21,27,18,Tuesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,dislike,negative,10,2021-03-29,6,57,35,Monday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,2021-05-20,16,11,3,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,2020-11-02,6,9,2,Monday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,neutral,20,2020-10-24,15,37,55,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,2020-09-07,14,42,5,Monday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,2021-03-04,2,46,37,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,2021-01-07,14,8,59,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,peeking,neutral,35,2020-07-06,11,18,23,Monday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,2021-03-27,4,56,15,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,positive,45,2020-11-21,21,25,27,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,cherish,positive,70,2020-08-22,1,25,23,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,peeking,neutral,35,2021-06-14,11,45,51,Monday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,worried,negative,12,2020-07-15,19,28,53,Wednesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,positive,45,2021-03-21,14,39,14,Sunday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,super love,positive,75,2021-04-07,3,15,32,Wednesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,cherish,positive,70,2021-04-24,6,56,18,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,2020-09-30,14,5,52,Wednesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,2020-07-19,19,28,53,Sunday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,2021-01-21,7,8,24,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,2021-01-31,13,48,15,Sunday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,hate,negative,5,2020-12-24,3,24,57,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,negative,0,2021-05-27,1,44,22,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,negative,0,2021-02-13,4,14,45,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,2020-07-14,4,36,58,Tuesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,dislike,negative,10,2020-07-15,16,3,17,Wednesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,2020-10-08,17,23,39,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,positive,60,2020-11-12,23,55,59,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,2021-02-21,5,1,29,Sunday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,positive,45,2020-07-09,8,58,4,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,2020-06-26,23,45,10,Friday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,worried,negative,12,2020-11-20,13,18,45,Friday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,positive,50,2021-05-29,21,34,57,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,neutral,20,2021-02-22,2,48,34,Monday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,2021-01-07,18,39,43,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,positive,72,2020-10-01,15,10,15,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,hate,negative,5,2020-11-21,8,24,23,Saturday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,2021-04-15,13,50,58,Thursday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,love,positive,65,2020-06-30,1,14,13,Tuesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,positive,70,2020-12-01,15,6,19,Tuesday
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,negative,15,2020-11-07,0,47,34,Saturday
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,positive,75,2020-06-30,13,8,43,Tuesday
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,heart,positive,60,2020-08-04,3,9,30,Tuesday
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,intrigued,positive,45,2020-07-28,7,1,21,Tuesday
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,positive,75,2020-10-25,2,39,21,Sunday
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,worried,negative,12,2020-07-05,3,37,53,Sunday
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,cherish,positive,70,2021-04-28,15,16,13,Wednesday
